trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
IE,1735,0.23054755043227665,0.11527377521613832,0.5,0.1873536299765808,0.05315217301032315,0.23054755043227665,0.08638784091139173
NS,1735,0.1377521613832853,0.06887608069164265,0.5,0.12107396149949341,0.018975657965766682,0.1377521613832853,0.033356399767583776
TF,1735,0.45878962536023055,0.22939481268011527,0.5,0.31450019755037534,0.2104879203381807,0.45878962536023055,0.2885788556197104
JP,1735,0.39596541786743517,0.19798270893371758,0.5,0.28364987613542525,0.15678861214693254,0.39596541786743517,0.22463108346401975
