trait,n_samples,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
IE,1735,0.15100864553314122,0.4540551215117068,0.09868601747815231,0.16090168949127018,0.7762844919382091,0.15100864553314117,0.2516619531036076
NS,1735,0.16714697406340057,0.44241037376048814,0.09860138425853415,0.15956979230116927,0.8679498677780783,0.16714697406340057,0.2793669214985756
TF,1735,0.1521613832853026,0.500339070623567,0.10194342318621863,0.16914038000368936,0.7529678939624211,0.1521613832853026,0.2528117870146357
JP,1735,0.1521613832853026,0.4964557371743001,0.10185293213477487,0.1684163008801037,0.7663155253477779,0.1521613832853026,0.2530486983592096
